security_code,security_name,primary_exchange,refinitiv_code,isin_code,value_date,consolidated_market_value,consolidated_shares_outstanding,free_float,free_float_market_value
406.0,CARNIVAL,LON,10585.0,GB0031215220,2022-11-01,9809633000.0,1258270000.0,0.92,9024862360.0
10188.0,BEAZLEY,LON,10469.0,GB00BYQ0JC66,2022-11-01,3844264000.0,610200000.0,0.94,3613608160.0
43251.0,BARRATT DEVELOPMENTS,LON,46250.0,GB0000811801,2022-11-01,3836858000.0,1006257000.0,0.94,3606646520.0
14493.0,JOHNSON MATTHEY,LON,45999.0,GB00BZ4BQC70,2022-11-01,3595688000.0,183453000.0,1.0,3595688000.0
18226.0,WEIR GROUP,LON,45951.0,GB0009465807,2022-11-01,4133023000.0,259612000.0,0.85,3513069550.0
1827.0,TAYLOR WIMPEY,LON,45921.0,GB0008782301,2022-11-01,3353266000.0,3531984000.0,1.0,3353266000.0
14022.0,IMI,LON,46066.0,GB00BGLP8L22,2022-11-01,3272923000.0,260791000.0,1.0,3272923000.0
19197.0,INTERMEDIATE CAPITAL GP.,LON,862.0,GB00BYT1DJ19,2022-11-01,3196079000.0,290552000.0,1.0,3196079000.0
42750.0,INVESTEC,LON,9486.0,GB00B17BBQ50,2022-11-01,4545539000.0,1034019000.0,0.7,3181877300.0
30732.0,IG GROUP HOLDINGS,LON,23757.0,GB00B06QFB75,2022-11-01,3363696000.0,421252000.0,0.94,3161874240.0
7114.0,HOWDEN JOINERY GP.,LON,35629.0,GB0005576813,2022-11-01,2899529000.0,555678000.0,1.0,2899529000.0
23042.0,ABRDN,LON,31747.0,GB00BF8Q6K64,2022-11-01,3395339000.0,2078566000.0,0.85,2886038150.0
16966.0,HOMESERVE,LON,46866.0,GB00BYYTFB60,2022-11-01,3996650000.0,336702000.0,0.72,2877588000.0
47433.0,TATE & LYLE,LON,45965.0,GB00BP92CJ43,2022-11-01,2819295000.0,401609000.0,1.0,2819295000.0
41144.0,MAN GROUP,LON,1116.0,JE00BJ1DLW90,2022-11-01,2813534000.0,1280042000.0,1.0,2813534000.0
56452.0,HARGREAVES LANSDOWN,LON,74610.0,GB00B1VZ0M25,2022-11-01,3749015000.0,474319000.0,0.75,2811761250.0
27550.0,SPECTRIS,LON,48543.0,GB0003308607,2022-11-01,3152959000.0,104924000.0,0.88,2774603920.0
5044.0,UNITE GROUP,LON,39813.0,GB0006928617,2022-11-01,3612111000.0,400234000.0,0.76,2745204360.0
51117.0,DECHRA PHARMACEUTICALS,LON,10397.0,GB0009633180,2022-11-01,3002696000.0,113825000.0,0.91,2732453360.0
28358.0,INCHCAPE,LON,45984.0,GB00B61TVQ02,2022-11-01,2866752000.0,374494000.0,0.95,2723414400.0
206443.0,B&M EUROPEAN VAL.RET.,LON,276445.0,LU1072616219,2022-11-01,3386265000.0,1001853000.0,0.79,2675149350.0
36989.0,BRITISH LAND,LON,46055.0,GB0001367019,2022-11-01,3453139000.0,927017000.0,0.75,2589854250.0
3251.0,HISCOX DI,LON,30485.0,BMG4593F1389,2022-11-01,3113312000.0,346540000.0,0.83,2584048960.0
50258.0,ITV,LON,47380.0,GB0033986497,2022-11-01,2758210000.0,4025408000.0,0.9,2482389000.0
204281.0,TRITAX BIG BOX REIT,LON,269976.0,GB00BG49KP99,2022-11-01,2642521000.0,1868829000.0,0.93,2457544530.0
33157.0,DIPLOMA,LON,46297.0,GB0001826634,2022-11-01,3135343000.0,124616000.0,0.77,2414214110.0
200351.0,DIRECT LINE IN.GROUP,LON,263850.0,GB00BY9D0Y18,2022-11-01,2676545000.0,1311388000.0,0.9,2408890500.0
29773.0,EASYJET,LON,14530.0,GB00B7KR2P84,2022-11-01,2683355000.0,758010000.0,0.85,2280851750.0
11275.0,HARBOUR ENERGY,LON,45980.0,GB00BMBVGQ36,2022-11-01,3297902000.0,863099000.0,0.64,2110657280.0
7893.0,DERWENT LONDON,LON,46833.0,GB0002652740,2022-11-01,2483868000.0,112291000.0,0.74,1838062320.0
5446.0,HIKMA PHARMACEUTICALS,LON,27926.0,GB00B0LCW083,2022-11-01,2844257000.0,220229000.0,0.62,1763439340.0
202624.0,MEDICLINIC INTERNATIONAL,LON,267405.0,GB00B8HX8Z88,2022-11-01,3659676000.0,737243000.0,0.46,1683450960.0
241087.0,DARKTRACE,LON,338996.0,GB00BNYK8G86,2022-11-01,2606773000.0,719706000.0,0.64,1668334720.0
238379.0,DR MARTENS,LON,334837.0,GB00BL6NGV24,2022-11-01,2501458000.0,1000583000.0,0.64,1600933120.0
39189.0,RENISHAW,LON,46630.0,GB0007323586,2022-11-01,2608741000.0,72789000.0,0.47,1226108270.0
