security_code,security_name,primary_exchange,refinitiv_code,isin_code,value_date,consolidated_market_value,consolidated_shares_outstanding,free_float,free_float_market_value
406.0,CARNIVAL,LON,10585.0,GB0031215220,2022-08-01,8903078000.0,1243044000.0,0.87,7745677860.0
1827.0,TAYLOR WIMPEY,LON,45921.0,GB0008782301,2022-08-01,4520938000.0,3531984000.0,1.0,4520938000.0
19197.0,INTERMEDIATE CAPITAL GP.,LON,862.0,GB00BYT1DJ19,2022-08-01,4387344000.0,290552000.0,0.94,4124103360.0
43538.0,BERKELEY GROUP HDG.,LON,48734.0,GB00BLJNXL82,2022-08-01,4733785000.0,110139000.0,0.84,3976379400.0
22374.0,SMITH (DS),LON,46327.0,GB0008220112,2022-08-01,3968354000.0,1376466000.0,1.0,3968354000.0
14493.0,JOHNSON MATTHEY,LON,45999.0,GB00BZ4BQC70,2022-08-01,3909660000.0,183122000.0,1.0,3909660000.0
18226.0,WEIR GROUP,LON,45951.0,GB0009465807,2022-08-01,4291386999.9999995,259612000.0,0.9,3862248299.9999995
51117.0,DECHRA PHARMACEUTICALS,LON,10397.0,GB0009633180,2022-08-01,4232011999.9999995,113764000.0,0.91,3851130919.9999995
7114.0,HOWDEN JOINERY GP.,LON,35629.0,GB0005576813,2022-08-01,3809139000.0,560332000.0,1.0,3809139000.0
216512.0,CONVATEC GROUP,LON,293358.0,GB00BD3VFW73,2022-08-01,4630719000.0,2041764000.0,0.81,3750882390.0000005
206443.0,B&M EUROPEAN VAL.RET.,LON,276445.0,LU1072616219,2022-08-01,4304270000.0,1001227000.0,0.84,3615586800.0
23042.0,ABRDN,LON,31747.0,GB00BF8Q6K64,2022-08-01,3595928000.0,2166874000.0,1.0,3595928000.0
41144.0,MAN GROUP,LON,1116.0,JE00BJ1DLW90,2022-08-01,3503373000.0,1308204000.0,1.0,3503373000.0
204281.0,TRITAX BIG BOX REIT,LON,269976.0,GB00BG49KP99,2022-08-01,3677852000.0,1868829000.0,0.93,3420402360.0
36989.0,BRITISH LAND,LON,46055.0,GB0001367019,2022-08-01,4504293000.0,927001000.0,0.75,3378219750.0
14022.0,IMI,LON,46066.0,GB00BGLP8L22,2022-08-01,3349769000.0,260682000.0,1.0,3349769000.0
42750.0,INVESTEC,LON,9486.0,GB00B17BBQ50,2022-08-01,4588125000.0,1034561000.0,0.73,3349331250.0
30732.0,IG GROUP HOLDINGS,LON,23757.0,GB00B06QFB75,2022-08-01,3446756000.0,430575000.0,0.94,3239950640.0
47433.0,TATE & LYLE,LON,45965.0,GB00BP92CJ43,2022-08-01,3216888000.0,401609000.0,1.0,3216888000.0
36360.0,DRAX GROUP,LON,28556.0,GB00B1VNSX38,2022-08-01,3177831000.0,400735000.0,1.0,3177831000.0
10188.0,BEAZLEY,LON,10469.0,GB00BYQ0JC66,2022-08-01,3242522000.0,610070000.0,0.93,3015545460.0
16966.0,HOMESERVE,LON,46866.0,GB00BYYTFB60,2022-08-01,3962626000.0,336672000.0,0.73,2892716980.0
28358.0,INCHCAPE,LON,45984.0,GB00B61TVQ02,2022-08-01,3175709000.0,374494000.0,0.88,2794623920.0
27550.0,SPECTRIS,LON,48543.0,GB0003308607,2022-08-01,3105613000.0,105849000.0,0.89,2763995570.0
33157.0,DIPLOMA,LON,46297.0,GB0001826634,2022-08-01,3449375000.0,124616000.0,0.78,2690512500.0
3251.0,HISCOX DI,LON,30485.0,BMG4593F1389,2022-08-01,3061674000.0,346500000.0,0.83,2541189420.0
36173.0,COMPUTACENTER,LON,37494.0,GB00BV9FP302,2022-08-01,3167806000.0,122688000.0,0.8,2534244800.0
200351.0,DIRECT LINE IN.GROUP,LON,263850.0,GB00BY9D0Y18,2022-08-01,2717197000.0,1311388000.0,0.9,2445477300.0
5446.0,HIKMA PHARMACEUTICALS,LON,27926.0,GB00B0LCW083,2022-08-01,3856594000.0,220125000.0,0.62,2391088280.0
7893.0,DERWENT LONDON,LON,46833.0,GB0002652740,2022-08-01,3184562000.0,112291000.0,0.73,2324730260.0
11275.0,HARBOUR ENERGY,LON,45980.0,GB00BMBVGQ36,2022-08-01,3223423000.0,897390000.0,0.65,2095224950.0
202624.0,MEDICLINIC INTERNATIONAL,LON,267405.0,GB00B8HX8Z88,2022-08-01,3596273000.0,737243000.0,0.46,1654285580.0
241087.0,DARKTRACE,LON,338996.0,GB00BNYK8G86,2022-08-01,2622959000.0,699829000.0,0.63,1652464170.0
39189.0,RENISHAW,LON,46630.0,GB0007323586,2022-08-01,3125541000.0,72789000.0,0.47,1469004270.0
9164.0,FRASERS GROUP,LON,34449.0,GB00B1QH8P22,2022-08-01,4299688000.0,477478000.0,0.23,988928240.0
