security_code,security_name,primary_exchange,refinitiv_code,isin_code,value_date,consolidated_market_value,consolidated_shares_outstanding,free_float,free_float_market_value
406.0,CARNIVAL,LON,10585.0,GB0031215220,2022-05-02,15629570000.0,1138555000.0,0.87,13597725900.0
4152.0,CENTRICA,LON,44611.0,GB00B033F229,2022-05-02,4694059000.0,5907452000.0,1.0,4694059000.0
22374.0,SMITH (DS),LON,46327.0,GB0008220112,2022-05-02,4546316000.0,1373924000.0,1.0,4546316000.0
7114.0,HOWDEN JOINERY GP.,LON,35629.0,GB0005576813,2022-05-02,4449602000.0,584398000.0,1.0,4449602000.0
204281.0,TRITAX BIG BOX REIT,LON,269976.0,GB00BG49KP99,2022-05-02,4556199000.0,,0.93,4237265070.0
19197.0,INTERMEDIATE CAPITAL GP.,LON,862.0,GB00BYT1DJ19,2022-05-02,4496301000.0,290552000.0,0.94,4226522939.9999995
23042.0,ABRDN,LON,31747.0,GB00BF8Q6K64,2022-05-02,4128113000.0000005,2180726000.0,1.0,4128113000.0000005
14493.0,JOHNSON MATTHEY,LON,45999.0,GB00BZ4BQC70,2022-05-02,4096671999.9999995,184120000.0,1.0,4096671999.9999995
18226.0,WEIR GROUP,LON,45951.0,GB0009465807,2022-05-02,4047352000.0,,1.0,4047352000.0
47433.0,TATE & LYLE,LON,45965.0,GB00BP92CJ43,2022-05-02,3640538000.0,468538000.0,1.0,3640538000.0
51117.0,DECHRA PHARMACEUTICALS,LON,10397.0,GB0009633180,2022-05-02,3943167000.0,,0.92,3627713640.0
29773.0,EASYJET,LON,14530.0,GB00B7KR2P84,2022-05-02,4252434000.0,758010000.0,0.85,3614568900.0
42750.0,INVESTEC,LON,9486.0,GB00B17BBQ50,2022-05-02,4936910000.0,1038345000.0,0.73,3603944300.0
14022.0,IMI,LON,46066.0,GB00BGLP8L22,2022-05-02,3532220000.0,260680000.0,1.0,3532220000.0
216512.0,CONVATEC GROUP,LON,293358.0,GB00BD3VFW73,2022-05-02,4313293000.0,,0.81,3493767330.0
5044.0,UNITE GROUP,LON,39813.0,GB0006928617,2022-05-02,4532180000.0,,0.76,3444456800.0
30732.0,IG GROUP HOLDINGS,LON,23757.0,GB00B06QFB75,2022-05-02,3519487000.0,431574000.0,0.94,3308317780.0
41144.0,MAN GROUP,LON,1116.0,JE00BJ1DLW90,2022-05-02,3150928000.0,,1.0,3150928000.0
44295.0,TUI N,XET,46904.0,DE000TUAG505,2022-05-02,4412699000.0,1622913000.0,0.69,3044762310.0
200351.0,DIRECT LINE IN.GROUP,LON,263850.0,GB00BY9D0Y18,2022-05-02,3353265000.0,1321744000.0,0.9,3017938500.0
56452.0,HARGREAVES LANSDOWN,LON,74610.0,GB00B1VZ0M25,2022-05-02,4350449000.0,474319000.0,0.69,3001809810.0
13182.0,PENNON GROUP,LON,46131.0,GB00BNNTLN49,2022-05-02,2945035000.0,264841000.0,1.0,2945035000.0
27550.0,SPECTRIS,LON,48543.0,GB0003308607,2022-05-02,3271281000.0,110891000.0,0.89,2911440090.0
3251.0,HISCOX DI,LON,30485.0,BMG4593F1389,2022-05-02,3279704000.0,346472000.0,0.83,2722154320.0
50258.0,ITV,LON,47380.0,GB0033986497,2022-05-02,2990879000.0,,0.9,2691791100.0
33157.0,DIPLOMA,LON,46297.0,GB0001826634,2022-05-02,3436915000.0,,0.78,2680793700.0
11275.0,HARBOUR ENERGY,LON,45980.0,GB00BMBVGQ36,2022-05-02,4666531000.0,925532000.0,0.57,2659922670.0
5446.0,HIKMA PHARMACEUTICALS,LON,27926.0,GB00B0LCW083,2022-05-02,4258652000.0,226103000.0,0.62,2640364240.0
16966.0,HOMESERVE,LON,46866.0,GB00BYYTFB60,2022-05-02,3307510000.0,336471000.0,0.78,2579857800.0
10188.0,BEAZLEY,LON,10469.0,GB00BYQ0JC66,2022-05-02,2632313000.0,609896000.0,0.94,2474374220.0
203643.0,INTERNATIONAL DISTRIBUTIONS,LON,268917.0,GB00BDVZYZ77,2022-05-02,3295043000.0,956194000.0,0.73,2405381390.0
7893.0,DERWENT LONDON,LON,46833.0,GB0002652740,2022-05-02,3386188000.0,,0.67,2268745960.0
39189.0,RENISHAW,LON,46630.0,GB0007323586,2022-05-02,3096425000.0,72789000.0,0.47,1455319750.0
209323.0,WIZZ AIR HOLDINGS,LON,281068.0,JE00BN574F90,2022-05-02,3272561000.0,103073000.0,0.41,1341750010.0
9164.0,FRASERS GROUP,LON,34449.0,GB00B1QH8P22,2022-05-02,3307546000.0,487120000.0,0.24,793811040.0
