trading_date,open_price,high_price,low_price,close_price
2013-11-06,1765.0,1773.74,1764.4,1770.49
2013-11-07,1770.74,1774.54,1746.2,1747.15
2013-11-08,1748.37,1770.78,1747.63,1770.61
2013-11-11,1769.96,1773.44,1767.85,1771.89
2013-11-12,1769.51,1771.78,1762.29,1767.69
2013-11-13,1764.37,1782.0,1760.64,1782.0
2013-11-14,1782.75,1791.53,1780.22,1790.62
2013-11-15,1790.66,1798.22,1790.66,1798.18
2013-11-18,1798.82,1802.33,1788.0,1791.53
2013-11-19,1790.79,1795.51,1784.72,1787.87
2013-11-20,1789.59,1795.73,1777.23,1781.37
2013-11-21,1783.52,1797.16,1783.52,1795.85
2013-11-22,1797.21,1804.84,1794.7,1804.76
2013-11-25,1806.33,1808.1,1800.58,1802.48
2013-11-26,1802.87,1808.42,1800.77,1802.75
2013-11-27,1803.48,1808.27,1802.77,1807.23
2013-11-29,1808.69,1813.55,1803.98,1805.81
2013-12-02,1806.55,1810.02,1798.6,1800.9
2013-12-03,1800.1,1800.1,1787.85,1795.15
2013-12-04,1793.15,1799.8,1779.09,1792.81
2013-12-05,1792.82,1792.82,1783.38,1785.03
2013-12-06,1788.36,1806.04,1788.36,1805.09
2013-12-09,1806.21,1811.52,1806.21,1808.37
2013-12-10,1807.6,1808.52,1801.75,1802.62
2013-12-11,1802.76,1802.97,1780.09,1782.22
2013-12-12,1781.71,1782.99,1772.28,1775.5
2013-12-13,1777.98,1780.92,1772.45,1775.32
2013-12-16,1777.48,1792.22,1777.48,1786.54
2013-12-17,1786.47,1786.77,1777.05,1781.0
2013-12-18,1781.46,1811.08,1767.99,1810.65
2013-12-19,1809.0,1810.88,1801.35,1809.6
2013-12-20,1810.39,1823.75,1810.25,1818.32
2013-12-23,1822.92,1829.75,1822.92,1827.99
2013-12-24,1828.02,1833.32,1828.02,1833.32
2013-12-26,1834.96,1842.84,1834.96,1842.02
2013-12-27,1842.97,1844.89,1839.81,1841.4
2013-12-30,1841.47,1842.47,1838.77,1841.07
2013-12-31,1842.61,1849.44,1842.41,1848.36
2014-01-02,1845.86,1845.86,1827.74,1831.98
2014-01-03,1833.21,1838.24,1829.13,1831.37
2014-01-06,1832.31,1837.16,1823.73,1826.77
2014-01-07,1828.71,1840.1,1828.71,1837.88
2014-01-08,1837.9,1840.02,1831.4,1837.49
2014-01-09,1839.0,1843.23,1830.38,1838.13
2014-01-10,1840.06,1843.15,1832.43,1842.37
2014-01-13,1841.26,1843.45,1815.52,1819.2
2014-01-14,1821.36,1839.26,1821.36,1838.88
2014-01-15,1840.52,1850.84,1840.52,1848.38
2014-01-16,1847.99,1847.99,1840.3,1845.89
2014-01-17,1844.23,1846.04,1835.23,1838.7
2014-01-21,1841.05,1849.31,1832.38,1843.8
2014-01-22,1844.71,1846.87,1840.88,1844.86
2014-01-23,1842.29,1842.29,1820.06,1828.46
2014-01-24,1826.96,1826.96,1790.29,1790.29
2014-01-27,1791.03,1795.98,1772.88,1781.56
2014-01-28,1783.0,1793.87,1779.49,1792.5
2014-01-29,1790.15,1790.15,1770.45,1774.2
2014-01-30,1777.17,1798.77,1777.17,1794.19
2014-01-31,1790.88,1793.88,1772.26,1782.59
2014-02-03,1782.68,1784.83,1739.66,1741.89
2014-02-04,1743.82,1758.73,1743.82,1755.2
2014-02-05,1753.38,1755.79,1737.92,1751.64
2014-02-06,1752.99,1774.06,1752.99,1773.43
2014-02-07,1776.01,1798.03,1776.01,1797.02
2014-02-10,1796.2,1799.94,1791.83,1799.84
2014-02-11,1800.45,1823.54,1800.41,1819.75
2014-02-12,1820.12,1826.55,1815.97,1819.26
2014-02-13,1814.82,1830.25,1809.22,1829.83
2014-02-14,1828.46,1841.65,1825.59,1838.63
2014-02-18,1839.03,1842.87,1835.01,1840.76
2014-02-19,1838.9,1847.5,1826.99,1828.75
2014-02-20,1829.24,1842.79,1824.58,1839.78
2014-02-21,1841.07,1846.13,1835.6,1836.25
2014-02-24,1836.78,1858.71,1836.78,1847.61
2014-02-25,1847.66,1852.91,1840.19,1845.12
2014-02-26,1845.79,1852.65,1840.66,1845.16
2014-02-27,1844.9,1854.53,1841.13,1854.29
2014-02-28,1855.12,1867.92,1847.67,1859.45
2014-03-03,1857.68,1857.68,1834.44,1845.73
2014-03-04,1849.23,1876.23,1849.23,1873.91
2014-03-05,1874.05,1876.53,1871.11,1873.81
2014-03-06,1874.18,1881.94,1874.18,1877.03
2014-03-07,1878.52,1883.57,1870.56,1878.04
2014-03-10,1877.86,1877.87,1867.04,1877.17
2014-03-11,1878.26,1882.35,1863.88,1867.63
2014-03-12,1866.15,1868.38,1854.38,1868.2
2014-03-13,1869.06,1874.4,1841.86,1846.34
2014-03-14,1845.07,1852.44,1839.57,1841.13
2014-03-17,1842.81,1862.3,1842.81,1858.83
2014-03-18,1858.92,1873.76,1858.92,1872.25
2014-03-19,1872.25,1874.14,1850.35,1860.77
2014-03-20,1860.09,1873.49,1854.63,1872.01
2014-03-21,1874.53,1883.97,1863.46,1866.52
2014-03-24,1867.67,1873.34,1849.69,1857.44
2014-03-25,1859.48,1871.87,1855.96,1865.62
2014-03-26,1867.09,1875.92,1852.56,1852.56
2014-03-27,1852.11,1855.55,1842.11,1849.04
2014-03-28,1850.07,1866.63,1850.07,1857.62
2014-03-31,1859.16,1875.18,1859.16,1872.34
2014-04-01,1873.96,1885.84,1873.96,1885.52
2014-04-02,1886.61,1893.17,1883.79,1890.9
2014-04-03,1891.43,1893.8,1882.65,1888.77
2014-04-04,1890.25,1897.28,1863.26,1865.09
2014-04-07,1863.92,1864.04,1841.48,1845.04
2014-04-08,1845.48,1854.95,1837.49,1851.96
2014-04-09,1852.64,1872.43,1852.38,1872.18
2014-04-10,1872.28,1872.53,1830.87,1833.08
2014-04-11,1830.65,1835.07,1814.36,1815.69
2014-04-14,1818.18,1834.19,1815.8,1830.61
2014-04-15,1831.45,1844.02,1816.29,1842.98
2014-04-16,1846.01,1862.31,1846.01,1862.31
2014-04-17,1861.73,1869.63,1856.72,1864.85
2014-04-21,1865.79,1871.89,1863.18,1871.89
